ID,RA,Dec,mstar,dmstar,SFR,dSFR,mHI,dmHI
HRS275,193.4404,-6.62222,10.02299976348877,0.09700000286102295,0.501781,0.00972764,9.64,0.04204155132174492
HRS311,215.08282,3.93363,11.133999824523926,0.09399999678134918,0.064064,0.0179823,9.08,0.009333333000540733
HRS283,193.95409,4.30403,9.755000114440918,0.09399999678134918,0.262707,0.00954201,9.68,0.0010018466273322701
HRS323,220.74101,4.89014,10.293000221252441,0.09399999678134918,0.214146,0.0121737,9.36,0.00531862722709775
HRS289,197.20325,-6.77759,10.34000015258789,0.09600000083446503,0.31979,0.0098178,9.68,0.01679166592657566
HRS280,193.81476,2.89673,10.553000450134277,0.09399999678134918,0.247086,0.0137842,8.62,0.06509999999999999
HRS57,171.93336,17.22424,10.263999938964844,0.0949999988079071,0.347324,0.00975387,8.91,0.06509999999999999
HRS17,161.76691,17.27367,9.913999557495117,0.0949999988079071,0.386292,0.00932882,9.42,0.060759998857975006
HRS88,182.0464,2.87844,10.3100004196167,0.0949999988079071,0.736267,0.00985597,9.58,0.06509999999999999
HRS276,193.46193,9.70995,10.39799976348877,0.0989999994635582,0.603409,0.0102154,8.78,0.007791741285473108
HRS74,179.11743,55.12538,9.9399995803833,0.09600000083446503,0.494133,0.0090874,9.12,0.06509999999999999
HRS284,194.16924,-7.56238,9.92199993133545,0.09399999678134918,0.399281,0.0127218,8.93,0.06509999999999999
HRS213,189.08658,25.98755,10.916999816894531,0.09399999678134918,0.291988,0.0121538,10.28,6.870349170640111E-4
HRS23,162.94279,32.90087,9.977999687194824,0.09399999678134918,0.473957,0.0110977,9.17,0.06509999999999999
HRS15,160.5314,13.747,10.541999816894531,0.0949999988079071,0.485458,0.0141299,9.97,8.489827741868794E-4
HRS85,181.53551,49.58275,10.487000465393066,0.09399999678134918,0.460941,0.00974191,9.38,0.024924496188759804
HRS66,175.32785,36.54701,9.95300006866455,0.09399999678134918,0.454826,0.00933984,9.4,0.05113746598362923
HRS268,192.98074,12.08256,10.052000045776367,0.09399999678134918,0.514683,0.00977476,9.08,0.004876404535025358
HRS307,209.04985,5.015,10.692999839782715,0.09399999678134918,0.526684,0.0108432,9.59,0.0017012935131788254
HRS50,170.72774,16.59002,10.050999641418457,0.09600000083446503,0.548981,0.0114906,9.23,0.046583179384469986
HRS295,204.38348,8.88531,10.305000305175781,0.0949999988079071,0.583637,0.00972248,9.67,0.0013444856740534306
HRS81,180.67612,1.97666,10.581000328063965,0.0949999988079071,0.757053,0.0114264,9.08,0.06366576254367828
HRS246,190.92776,16.39327,10.875,0.0949999988079071,0.709431,0.0112776,9.63,0.01559360045939684
HRS73,178.45409,52.32671,10.88700008392334,0.09399999678134918,0.531731,0.0163,9.4,0.020670665428042412
HRS4,155.87737,19.86505,10.427000045776367,0.0949999988079071,0.836033,0.0124,8.98,0.06509999999999999
HRS13,159.06793,37.32492,10.595000267028809,0.09399999678134918,0.705631,0.010592,9.32,0.04483470693230629
HRS25,163.14893,22.93406,10.218999862670898,0.09399999678134918,0.874561,0.00923483,9.24,0.05995604023337364
HRS48,170.26225,53.16951,10.446000099182129,0.09600000083446503,0.821384,0.00860391,9.51,0.06509999999999999
HRS36,165.79692,27.97254,10.281999588012695,0.09600000083446503,1.16884,0.00953041,8.74,0.011391076259315014
HRS251,191.28604,-0.46191,10.444999694824219,0.09399999678134918,0.756557,0.0408858,9.95,0.07796183973550797
HRS56,171.88228,56.87703,10.38700008392334,0.0949999988079071,0.955738,0.0101578,9.06,0.0472349151968956
HRS292,201.30807,43.26726,10.57699966430664,0.09600000083446503,1.05455,0.010593,9.02,0.06509999999999999
HRS77,180.09846,-1.10013,10.934000015258789,0.09600000083446503,1.1585,0.00998703,9.82,0.08335576206445694
HRS22,162.81767,27.9752,10.956999778747559,0.09600000083446503,-0.736824,0.0344069,8.12,0.05292682722210884
HRS43,169.24576,18.1486,10.897000312805176,0.09600000083446503,-1.15992,0.0831873,7.09,0.06509999999999999
HRS169,187.11412,18.41523,14.472999572753906,0.10000000149011612,4.85589,0.011808,8.48,0.06509999999999999
HRS209,188.87305,-3.79306,10.97700023651123,0.09600000083446503,-0.775753,0.0384062,8.25,0.06509999999999999
HRS291,200.1255,43.08406,10.152000427246094,0.09600000083446503,-1.69625,0.0455623,8.43,0.06323999911546707
HRS312,215.26526,3.27102,10.979999542236328,0.09600000083446503,-0.874695,0.0405723,7.45,0.06509999999999999
HRS316,217.41789,3.2334,10.845000267028809,0.09600000083446503,-1.11049,0.0561638,7.96,0.06509999999999999
VGS7,151.67668,51.2733,8.46500015258789,1.2719999551773071,-0.7374344,0.04571042,8.93449878692627,0.0403720922768116
VGS8,155.64738,45.64005,8.383999824523926,1.2730000019073486,-1.1414146,0.02294578,8.596596717834473,0.1659088432788849
VGS9,155.71378,56.32634,8.270000457763672,1.2719999551773071,-1.3323708,0.028013313,9.012837409973145,0.042135920375585556
VGS12,157.08005,62.58393,8.595999717712402,1.2719999551773071,-1.2620506,0.0235642,9.47567081451416,0.06096320599317551
VGS18,163.46779,21.76378,8.623000144958496,1.2719999551773071,-1.4254799,0.032832753,8.59217643737793,0.12986698746681213
VGS25,184.78436,37.44562,8.692999839782715,1.2719999551773071,-1.1910706,0.021026768,8.227887153625488,0.16435502469539642
VGS27,185.34636,39.61653,8.418999671936035,1.2719999551773071,-1.807682,0.037136253,8.521138191223145,0.09804216772317886
VGS30,196.35876,54.76468,8.434000015258789,1.2719999551773071,-1.4038353,0.037394304,8.740363121032715,0.07890909165143967
VGS33,201.27113,43.06831,8.48900032043457,1.2730000019073486,-1.3973198,0.035231996,8.923762321472168,0.09362811595201492
VGS38,210.14229,55.25423,8.607000350952148,1.2719999551773071,-0.7627754,0.010393625,8.959041595458984,0.03338461369276047
VGS45,218.97636,52.73322,8.618000030517578,1.2719999551773071,-1.7416267,0.050111067,8.544068336486816,0.16120000183582306
VGS52,228.54565,6.74698,8.378999710083008,1.2730000019073486,-1.264328,0.039413318,8.954242706298828,0.10849999636411667
VGS34,201.82745,59.50281,9.706999778747559,0.10000000149011612,0.4534865,0.15029834,9.378397941589355,0.05266108736395836
VGS57,234.58842,33.18478,9.946999549865723,0.10000000149011612,0.42768082,0.15032429,8.804139137268066,0.1008351594209671
VGS31,199.02585,41.50121,9.711999893188477,0.10000000149011612,0.47795868,0.015156468,9.29863452911377,0.06327803432941437
VGS47,223.31087,46.48636,10.475000381469727,0.09799999743700027,0.07255173,0.033943906,9.11461067199707,0.09033332765102386
VGS21,175.76256,40.82729,10.050000190734863,0.0989999994635582,-0.25836945,0.050800007,9.331427574157715,0.07243449240922928
VGS32,200.63544,54.8183,9.593000411987305,0.10100000351667404,-0.0067401654,0.15044099,9.57978343963623,0.051394734531641006
VGS44,217.71805,55.2445,9.447999954223633,0.10700000077486038,-0.0505124,0.15045203,8.69019603729248,0.0974285677075386
VGS54,232.64934,26.73573,9.821999549865723,0.12300000339746475,-0.18595226,0.15190333,9.520875930786133,0.05232067406177521
VGS23,184.31894,12.79525,9.493000030517578,0.12200000137090683,-0.15933228,0.034536477,9.585686683654785,0.05148961395025253
VGS60,239.33984,25.7886,9.72599983215332,0.10599999874830246,-0.5601311,0.069685884,8.399673461914062,0.27838248014450073
VGS40,213.36023,50.64491,9.095000267028809,0.13699999451637268,-0.51779556,0.05311272,8.778151512145996,0.10126665979623795
VGS50,224.78885,32.79899,10.125,0.1080000028014183,-0.38610458,0.04411962,9.7424898147583,0.05732223764061928
VGS53,231.3475,29.17188,9.765999794006348,0.12399999797344208,-0.35961798,0.15317647,8.715167045593262,0.1388130933046341
VGS42,216.06839,52.53566,9.628000259399414,0.12700000405311584,-0.6856041,0.061368875,8.602060317993164,0.1627499908208847
VGS55,232.88518,34.51575,9.392000198364258,0.1589999943971634,-0.80382377,0.19172247,9.238798141479492,0.08915406465530396
VGS36,208.89774,59.51148,9.279999732971191,0.1850000023841858,-0.5254173,0.055391677,9.29666519165039,0.0591818206012249
VGS11,155.96609,9.98747,9.107999801635742,0.1720000058412552,-0.8646736,0.034401245,9.33705997467041,0.042141739279031754
VGS19,167.62343,13.76616,8.520999908447266,0.20100000500679016,-0.88451767,0.09587718,8.499687194824219,0.10437973588705063
VGS26,185.13557,60.83293,9.475000381469727,0.20600000023841858,-0.7005882,0.011925788,9.173186302185059,0.09408187866210938
VGS35,207.80667,45.58587,8.88700008392334,0.1679999977350235,-0.83522415,0.06600647,9.029383659362793,0.05272896960377693
VGS51,228.04837,24.56227,8.706999778747559,0.31299999356269836,-0.5168915,0.025122833,9.278982162475586,0.056162018328905106
VGS14,158.77707,55.14667,8.376999855041504,0.30799999833106995,-1.2724037,0.018083068,8.806180000305176,0.0678124949336052
VGS58,236.21745,36.47932,9.152999877929688,0.13500000536441803,-0.96076584,0.011356857,8.845098495483398,0.03720000013709068
VGS13,157.96953,31.84299,9.505999565124512,0.17299999296665192,-1.4168012,0.17110705,9.091667175292969,0.08609716594219208
VGS46,220.91032,32.3341,8.91100025177002,0.2280000001192093,-1.105053,0.021285465,8.744293212890625,0.12980899214744568
